objectId,gmag,rmag,g_minus_r,jd_g_minus_r,jdmin,ramean,decmean,glatmean,dmdt_g,mag_g02,mag_g08,mag_g28,maggmax,maggmean,maggmin,mag_r02,mag_r08,mag_r28,dmdt_r,magrmax,magrmin,distpsnr1,dmdt_g_err,dmdt_r_err,sgmag1,srmag1,classification,catalogue_object_id,separationArcsec,northSeparationArcsec,eastSeparationArcsec,physical_separation_kpc,distance,classificationReliability,major_axis_arcsec,tns_name,type,ra,decl,galactic_plane,g_r_days_from_fl,z,source_label
ZTF24aapjmye,19.9974,19.8255,0.171873,2460477.7821181,2460458.7883102,255.1395509211765,67.05694230235294,35.54114330095838,0.035104,20.0152,20.0909,20.559,21.1155,19.8361,19.4753,19.8213,19.9494,20.3519,-0.0168131,20.7498,19.742,21.3336,0.138982,0.0450887,-999.0,-999.0,UNCLEAR,188462551398519257,0.652,0.52686,0.38457,0.0,0.0,3.0,0.0,2024kkc,SN Ia,255.139521,67.0569714,no,18.99380790023133,0.144,SN Ia
ZTF22aaobrbd,20.379,20.2143,0.3139,2459766.8235764,2459756.8072801,279.74122488421057,48.38467211052631,21.90414481112273,-1.55615,20.1865,19.8027,19.3796,20.379,19.8168,19.0713,20.1711,19.9417,19.5167,-0.0336071,20.2143,19.0397,21.5232,4.67177,0.132948,20.7077,19.4805,UNCLEAR,166062797413712148,0.21,-0.0946,-0.1861,0.0,0.0,3.0,5.35,2022nab,SN Ia,279.741214234,48.3846687497,no,10.01629630010575,0.1,SN Ia
ZTF23aauubqu,20.9987,20.2943,0.987598,2460203.8668519,2460185.8690394,36.46048327142857,45.31517885714286,-14.436030257933767,-0.152116,20.9186,20.8165,20.4285,21.1521,20.7487,19.991,20.2843,20.0845,19.6539,-0.0308663,20.2943,19.19,11.344,0.187141,0.0301231,-999.0,19.4069,UNCLEAR,162370364608178790,0.11,-0.10336,-0.01942,0.0,0.0,3.0,4.29,2023ohr,SN Ia,36.460500755556,45.315180888889,yes,17.997812499757856,0.068,SN Ia
ZTF24abkegqp,20.1252,19.0899,1.2638,2460619.6157986,2460595.6212037,253.531977212,61.80774560399999,37.43277732564495,-0.114645,20.1122,19.651,18.8473,20.1252,18.716,18.118,19.0744,18.9204,18.5912,0.00780539,19.1054,18.161,20.5894,0.0347454,0.10435,19.5125,19.225,UNCLEAR,1237651211211834103,0.069,0.03318,0.06027,0.0,0.0,3.0,0.0,2024xhi,SN Ia,253.531917,61.807731,no,23.99459489993751,0.06,SN Ia
ZTF25acgxbpg,19.6263,18.56,1.06634,2461061.744375,2461031.8015162,78.2253210235294,80.20207797058823,22.718501763264264,-0.127769,19.4928,19.0918,18.507,19.6263,18.8111,17.8373,18.5308,18.3934,18.1007,-0.0758959,18.56,17.7312,0.23213,0.118618,0.0581688,20.8783,20.1834,UNCLEAR,NAFL002637,0.124,-0.10528,-0.06551,0.0,0.0,3.0,0.0,2025agmn,SN Ia,78.2253667,80.202075,no,29.94285879982635,0.053,SN Ia
ZTF22aakkmri,17.214,17.275,-0.183201,2459738.692662,2459719.7303819,201.2681536615385,-24.65693680769231,37.58347854179196,-0.0521161,17.1983,17.1553,17.5644,18.1816,17.367,16.8765,17.2459,17.2965,18.1146,-0.0482552,19.2864,17.002,8.87477,0.0189229,0.0171631,18.426,-999.0,UNCLEAR,78412012682692042,0.73,-0.0628,0.7239,0.0,0.0,3.0,4.71,2022knm,SN Ia,201.268116472,-24.6568878095,no,18.9622801002115,0.04,SN Ia
ZTF25acgqhry,20.8169,19.6814,1.2017,2461058.7609491,2461031.8358681,117.82420761818184,1.1781084727272728,13.835979072870368,-0.12006,20.7148,20.2857,19.5472,20.8169,19.8044,18.7866,19.643,19.5572,19.2653,-0.0333157,19.6814,18.8266,12.1703,0.204823,0.127994,19.881,18.7211,UNCLEAR,109411178241904213,0.233,0.04726,-0.22803,0.0,0.0,3.0,0.0,2025agmz,SN Ia,117.8242889,1.1781147,yes,26.925080999732018,0.1,SN Ia
ZTF23aaznifc,19.8542,19.8909,0.426901,2460211.7950463,2460202.7050579,328.81130374615384,-17.592113076923077,-48.381456384565766,-0.0889013,19.7889,19.4132,19.1145,19.8542,19.3704,18.9365,19.8827,19.7084,19.3432,-0.0300649,19.8909,18.9087,13.8175,0.0683409,0.0395336,-999.0,22.2414,UNCLEAR,86883288113129867,0.59,0.25335,0.53792,0.0,0.0,3.0,5.32,2023qrz,SN Ia,328.8112981,-17.5920526,no,9.089988400228322,0.09,SN Ia
ZTF22abfxmvf,20.9392,19.8065,1.13266,2459883.7480556,2459854.7667593,358.4048121195122,11.382785812195122,-49.014028297553175,-0.160827,20.8404,20.4381,19.6124,20.9556,19.836,18.7133,19.7991,19.6288,19.2322,0.0397005,19.8487,18.7701,19.1139,0.415301,0.184396,-999.0,21.5095,UNCLEAR,121653584047589542,0.87,-0.86235,-0.13195,0.0,0.0,3.0,0.0,2022uwh,SN Ia,358.4047615,11.3828331,no,28.98129629995674,0.09,SN Ia
ZTF23aaawbsy,20.2027,19.229,0.3715,2459984.9935069,2459968.0109954,258.6727606363636,66.85612674545455,34.2361118150941,-0.0743607,20.1952,19.9166,19.2489,20.2027,19.2533,18.5196,19.2279,19.1567,18.8528,-0.0114317,19.229,18.4268,22.5174,0.0374033,0.0147459,-999.0,21.5341,UNCLEAR,188222586730018250,0.5,0.34123,0.36367,0.0,0.0,3.0,4.48,2023ael,SN Ia,258.67275,66.856131,no,16.982511499896646,0.08,SN Ia
ZTF25aanmrqp,18.5189,18.4703,-0.246,2460795.6683449,2460781.6723611,151.92603143333335,-25.946845725,23.895938009242208,-0.03278,18.5145,18.6037,19.3848,20.4552,18.8525,18.2567,18.4752,18.7584,19.4142,0.0163073,20.0346,18.4591,0.0773192,0.0290123,0.0707542,21.6823,21.8299,UNCLEAR,76861519260844401,0.153,0.13441,-0.07364,0.0,0.0,3.0,4.012,2025hyu,SN Ia,151.92602367778,-25.946850088889,no,13.995983799919486,0.078,SN Ia
ZTF22aaoolfh,20.6302,20.6686,0.671999,2459818.9663079,2459812.908044,16.93837000909091,14.42228160909091,-48.261222680146595,0.0277975,20.6441,20.6883,20.7108,20.7424,20.6982,20.6302,20.6677,20.5423,20.1723,-0.0424624,20.6686,19.7457,18.0679,0.113856,0.0188191,-999.0,21.8483,SN,GALEXMSCJ010745.22+142524.0,3.79,3.77496,0.31181,0.0,0.0,3.0,0.0,2022ngd,SN Ia,16.9383767632,14.4222665648,no,6.058263899758458,0.04,SN Ia
